Card,Fetch,Collectr,TCGPlayer
GD03-118 Awakened Potential,https://www.fetchtcg.com/cards/gdm_sr-GD03-118_R+_R_holofoil/gundam-awakened-potential-r-steel-requiem-holofoil-r,https://app.getcollectr.com/explore/product/675682/gundam-card-game-steel-requiem-awakened-potential-r-gd03-118,https://www.tcgplayer.com/product/675682/gundam-card-game-steel-requiem-awakened-potential-rplus?Language=all&page=1
GD04-001 Gundam,https://www.fetchtcg.com/cards/gdm_pa-GD04-001_LR+_GL_holofoil/gundam-gundam-gd04-001-lr-phantom-aria-holofoil-gl,https://app.getcollectr.com/explore/product/691949,https://www.tcgplayer.com/product/691949/gundam-card-game-phantom-aria-gundam-gd04-001-lrplus?Language=all&page=1
GD04-002 Penelope (Flight Form),https://www.fetchtcg.com/cards/gdm_pa-GD04-002_LR+_FFL_holofoil/gundam-penelope-flight-form-lr-phantom-aria-holofoil-ffl,https://app.getcollectr.com/explore/product/691963,https://www.tcgplayer.com/product/691963/gundam-card-game-phantom-aria-penelope-flight-form-lrplus?Language=all&page=1
GD04-003 Victory Gundam,https://www.fetchtcg.com/cards/gdm_pa-GD04-003_LR+_L_holofoil/gundam-victory-gundam-lr-phantom-aria-holofoil-l,https://app.getcollectr.com/explore/product/691947/gundam-card-game-phantom-aria-victory-gundam-lr-gd04-003,https://www.tcgplayer.com/product/691947/gundam-card-game-phantom-aria-victory-gundam-lrplus?Language=all&page=1
GD04-006 V-Dash Gundam,https://www.fetchtcg.com/cards/gdm_pa-GD04-006_R+_R_holofoil/gundam-v-dash-gundam-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691956/gundam-card-game-phantom-aria-v-dash-gundam-r-gd04-006,https://www.tcgplayer.com/product/691956/gundam-card-game-phantom-aria-v-dash-gundam-rplus?Language=all&page=1
GD04-009 Guncannon (108) & (109),https://www.fetchtcg.com/cards/gdm_pa-GD04-009_R+_&G109R_holofoil/gundam-guncannon-108-and-guncannon-109-r-phantom-aria-holofoil-andg109r,https://app.getcollectr.com/explore/product/691954,https://www.tcgplayer.com/product/691954/gundam-card-game-phantom-aria-guncannon-108-and-guncannon-109-rplus?Language=all&page=1
GD04-017 Zeong,https://www.fetchtcg.com/cards/gdm_pa-GD04-017_LR+_L_holofoil/gundam-zeong-lr-phantom-aria-holofoil-l-2,https://app.getcollectr.com/explore/product/691957/gundam-card-game-phantom-aria-zeong-lr-gd04-017,https://www.tcgplayer.com/product/691957/gundam-card-game-phantom-aria-zeong-lrplus?Language=all&page=1
GD04-018 Gundam Pharact,https://www.fetchtcg.com/cards/gdm_pa-GD04-018_LR+_L_holofoil/gundam-gundam-pharact-lr-phantom-aria-holofoil-l,https://app.getcollectr.com/explore/product/691945/gundam-card-game-phantom-aria-gundam-pharact-lr-gd04-018,https://www.tcgplayer.com/product/691945/gundam-card-game-phantom-aria-gundam-pharact-lrplus?Language=all&page=1
GD04-021 Gundam Lfrith Thorn,https://www.fetchtcg.com/cards/gdm_pa-GD04-021_R+_R_holofoil/gundam-gundam-lfrith-thorn-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691946,https://www.tcgplayer.com/product/691946/gundam-card-game-phantom-aria-gundam-lfrith-thorn-rplus?Language=all&page=1
GD04-022 Kikeroga (MS Mode)(GQ),https://www.fetchtcg.com/cards/gdm_pa-GD04-022_R+_MMGR_holofoil/gundam-kikeroga-ms-mode-gq-r-phantom-aria-holofoil-mmgr,https://app.getcollectr.com/explore/product/691942,https://www.tcgplayer.com/product/691942/gundam-card-game-phantom-aria-kikeroga-ms-mode-gq-rplus?Language=all&page=1
